ctprvn_cd,objt_id,fclty_cd,data_yr,emd_cd,fclty_nm,telno,rn_adres,sgg_cd,fclty_ty,x,y,adres
41,200177,509010,2025,41461250,씨유포곡금어점,,경기도 용인시 처인구 포곡읍 금어로 250,41461,편의점,14164450.84,4476930.2,경기도 용인시 처인구 포곡읍 금어리 434-1
41,200178,509010,2025,41220250,씨유팽성원룸점,,경기도 평택시 팽성읍 부용로55번길 14,41220,편의점,14144298.56,4434357.581,경기도 평택시 팽성읍 객사리 164-74
41,200179,509010,2025,41410104,지에스25산본,,경기도 군포시 고산로677번길 34,41410,편의점,14129955.06,4491309.038,경기도 군포시 산본동 1066
41,200180,509010,2025,41135103,세븐일레븐정자타운점,,경기도 성남시 분당구 불정로65번길 14,41135,편의점,14150030.61,4489604.79,경기도 성남시 분당구 정자동 146-2
41,200181,509010,2025,41570103,미니스톱운양골드,,경기도 김포시 김포한강1로 250,41570,편의점,14102481.81,4530567.576,경기도 김포시 운양동 1307-3
41,200182,509010,2025,41171101,CU안양대비전관점,,경기도 안양시 만안구 삼덕로37번길 22,41171,편의점,14128735.36,4493977.675,경기도 안양시 만안구 안양동 708-113
41,200183,509010,2025,41463117,씨유용인비발디점,,경기도 용인시 기흥구 강남동로100번길 1,41463,편의점,14152789.97,4477230.947,경기도 용인시 기흥구 상하동 631-3
41,200184,509010,2025,41250103,세븐일레븐동두천부영6단지점,,경기도 동두천시 동두천로 175,41250,편의점,14143727.44,4564889.499,경기도 동두천시 생연동 715-7
41,200185,509010,2025,41550380,세븐일레븐안성원곡,,경기도 안성시 원곡면 만세로 1415-24,41550,편의점,14151806.97,4443979.006,경기도 안성시 원곡면 외가천리 252-1
41,200186,509010,2025,41111130,미니스톱수원기산점,,경기도 수원시 장안구 영화로86번길 8,41111,편의점,14138288.17,4480182.743,경기도 수원시 장안구 정자동 68-47
